iter	Passed	Remaining
0	137	137253
1	139	69611
2	141	46974
3	143	35847
4	145	28950
5	147	24415
6	148	21130
7	149	18588
8	151	16736
9	154	15287
10	156	14058
11	158	13055
12	159	12107
13	161	11341
14	163	10711
15	164	10099
16	165	9573
17	166	9075
18	167	8636
19	168	8259
20	169	7893
21	170	7572
22	171	7284
23	172	7020
24	173	6760
25	174	6534
26	175	6321
27	176	6118
28	176	5921
29	177	5739
30	178	5571
31	179	5417
32	179	5267
33	180	5130
34	181	4999
35	182	4873
36	182	4759
37	183	4650
38	184	4552
39	185	4458
40	186	4361
41	187	4270
42	187	4182
43	188	4099
44	189	4019
45	190	3941
46	190	3863
47	191	3791
48	191	3721
49	192	3658
50	193	3598
51	193	3536
52	194	3479
53	195	3427
54	196	3374
55	197	3327
56	198	3280
57	198	3230
58	199	3182
59	200	3134
60	200	3090
61	201	3047
62	201	3003
63	202	2960
64	203	2921
65	203	2882
66	204	2847
67	204	2808
68	205	2771
69	206	2737
70	206	2705
71	207	2675
72	208	2648
73	209	2619
74	210	2590
75	210	2561
76	211	2533
77	212	2507
78	212	2479
79	213	2452
80	213	2425
81	214	2399
82	215	2375
83	215	2352
84	216	2326
85	216	2302
86	217	2279
87	217	2257
88	218	2237
89	219	2219
90	220	2201
91	221	2183
92	222	2165
93	222	2146
94	223	2128
95	224	2110
96	224	2091
97	225	2074
98	226	2056
99	226	2039
100	227	2023
101	227	2005
102	228	1989
103	228	1972
104	229	1956
105	230	1940
106	230	1925
107	231	1911
108	232	1898
109	232	1884
110	233	1871
111	234	1859
112	235	1846
113	235	1833
114	236	1819
115	236	1805
116	237	1791
117	238	1779
118	238	1765
119	239	1753
120	239	1741
121	240	1730
122	240	1716
123	241	1704
124	241	1693
125	242	1682
126	243	1671
127	243	1658
128	243	1647
129	244	1637
130	245	1628
131	246	1620
132	247	1611
133	247	1602
134	248	1591
135	248	1581
136	249	1572
137	250	1562
138	250	1552
139	251	1543
140	252	1535
141	252	1526
142	253	1517
143	254	1510
144	254	1502
145	255	1494
146	256	1485
147	256	1477
148	257	1468
149	257	1461
150	258	1454
151	259	1447
152	260	1440
153	260	1432
154	261	1425
155	262	1418
156	262	1411
157	263	1403
158	264	1396
159	264	1389
160	265	1383
161	266	1376
162	266	1369
163	267	1362
164	267	1355
165	268	1348
166	269	1342
167	269	1335
168	270	1329
169	271	1323
170	271	1318
171	272	1312
172	273	1305
173	273	1299
174	274	1292
175	274	1286
176	275	1279
177	275	1273
178	276	1268
179	277	1262
180	277	1255
181	277	1248
182	278	1242
183	278	1236
184	279	1230
185	280	1225
186	280	1220
187	281	1214
188	281	1208
189	282	1203
190	282	1198
191	283	1193
192	284	1189
193	285	1184
194	285	1179
195	286	1174
196	286	1169
197	287	1164
198	288	1159
199	288	1154
200	289	1149
201	289	1144
202	290	1139
203	290	1135
204	291	1130
205	292	1125
206	292	1121
207	293	1116
208	293	1112
209	294	1107
210	294	1102
211	295	1099
212	296	1095
213	297	1091
214	297	1087
215	298	1083
216	299	1079
217	299	1075
218	300	1071
219	301	1067
220	301	1062
221	302	1058
222	302	1054
223	303	1051
224	303	1047
225	304	1042
226	305	1038
227	305	1034
228	306	1030
229	306	1027
230	307	1023
231	308	1020
232	309	1017
233	309	1014
234	310	1012
235	311	1008
236	312	1004
