iter	Passed	Remaining
0	0	696
1	1	681
2	1	643
3	2	701
4	3	699
5	4	710
6	4	686
7	5	692
8	6	689
9	6	671
10	7	660
11	8	670
12	8	676
13	9	671
14	10	667
15	10	662
16	11	660
17	11	652
18	12	648
19	13	645
20	13	639
21	14	635
22	14	634
23	15	626
24	16	624
25	16	622
26	17	621
27	17	614
28	18	612
29	19	616
30	19	618
31	20	618
32	21	620
33	21	620
34	22	620
35	23	620
36	23	619
37	24	618
38	25	617
39	25	617
40	26	616
41	26	614
42	27	614
43	28	612
44	28	613
45	29	611
46	30	610
47	30	610
48	31	610
49	32	609
50	32	609
51	33	611
52	34	613
53	35	614
54	35	612
55	36	611
56	36	610
57	37	610
58	38	607
59	38	604
60	39	603
61	39	603
62	40	603
63	41	603
64	41	603
65	42	603
66	43	603
67	43	602
68	44	600
69	45	598
70	45	598
71	46	598
72	47	597
73	47	598
74	48	599
75	49	600
76	50	600
77	50	599
78	51	598
79	52	598
80	52	597
81	53	597
82	53	593
83	54	592
84	55	593
85	55	593
86	56	591
87	57	591
88	57	590
89	58	589
90	58	587
91	59	586
92	59	583
93	60	582
94	61	581
95	61	582
96	62	585
97	63	585
98	64	585
99	65	585
100	65	583
101	66	582
102	66	580
103	67	578
104	67	577
105	68	575
106	68	575
107	69	576
108	70	575
109	71	575
110	71	575
111	72	574
112	73	574
113	73	572
114	74	570
115	74	568
116	74	565
117	75	564
118	76	563
119	76	562
120	77	562
121	77	561
122	78	560
123	79	559
124	79	559
125	80	557
126	80	556
127	81	555
128	82	554
129	82	554
130	83	553
131	84	552
132	84	551
133	85	550
134	85	549
135	86	549
136	87	548
137	87	547
138	88	545
139	88	544
140	89	543
141	89	540
142	90	539
143	90	538
144	91	537
145	92	538
146	92	538
147	93	538
148	94	537
149	94	536
150	95	537
151	96	536
152	96	536
153	97	536
154	98	535
155	98	534
156	99	533
157	99	532
158	100	531
159	101	531
160	101	529
161	102	528
162	102	527
163	103	526
164	103	524
165	104	524
166	104	522
167	105	522
168	106	522
169	107	523
170	107	522
171	108	523
172	109	522
173	110	522
174	110	523
175	112	524
176	112	524
177	113	525
178	114	525
179	115	525
180	116	525
181	116	523
182	117	523
183	117	522
184	118	522
185	119	522
186	119	521
187	120	521
188	121	521
189	122	522
190	123	522
191	123	521
192	124	521
193	125	521
194	126	521
195	126	520
196	127	519
197	128	518
198	128	517
199	129	517
200	129	516
201	130	515
202	131	514
203	131	514
204	132	513
205	133	513
206	133	512
207	134	512
208	135	512
209	135	511
210	136	510
211	137	510
212	138	509
213	138	509
214	139	509
215	140	508
216	140	507
217	141	507
218	142	506
219	142	505
220	143	505
221	144	504
222	144	503
223	145	503
224	146	503
225	146	503
226	147	502
227	148	501
228	148	501
229	149	500
230	150	500
231	151	500
232	151	499
233	152	498
234	153	498
235	153	497
236	154	496
237	154	495
238	155	494
239	155	493
240	156	492
241	157	492
242	158	492
243	158	491
244	159	491
245	160	490
246	160	489
247	161	488
248	161	487
249	162	487
250	163	486
251	163	485
252	164	484
253	165	484
254	165	484
255	166	483
256	167	483
257	167	482
258	168	481
259	168	480
260	169	479
261	169	478
262	170	477
263	171	477
264	171	476
265	172	475
266	172	474
267	173	473
268	174	472
269	174	472
270	175	471
271	175	470
272	176	469
273	176	468
274	177	467
275	178	467
276	178	466
277	179	466
278	180	465
279	180	465
280	181	464
281	182	463
282	182	463
283	183	462
284	183	461
285	184	460
286	185	459
287	185	458
288	186	457
289	186	457
290	187	456
291	187	455
292	188	454
293	189	453
294	189	453
295	190	452
296	190	451
297	191	451
298	192	450
299	192	449
300	193	449
301	194	448
302	194	448
303	195	447
304	196	447
305	197	446
306	197	446
307	198	446
308	199	446
309	200	445
310	201	445
311	201	444
312	202	444
313	203	443
314	203	443
315	204	442
316	205	442
317	205	441
318	206	440
319	207	440
320	207	439
321	208	439
322	209	439
323	210	438
324	211	438
325	211	438
326	212	437
327	213	437
328	213	436
329	214	435
330	215	434
331	215	434
332	216	433
333	216	432
334	217	431
335	218	431
336	218	430
337	219	429
338	219	428
339	220	428
340	221	427
341	221	426
342	222	425
343	222	424
344	223	424
345	224	424
346	225	423
347	225	423
348	226	422
349	227	421
350	227	420
351	228	420
352	228	419
353	229	418
354	230	417
355	230	417
356	231	417
357	232	416
358	232	415
359	233	415
360	234	414
361	234	413
362	235	413
363	236	412
364	236	411
365	237	411
366	237	410
367	238	410
368	239	409
369	240	409
370	241	408
371	241	407
372	242	407
373	242	406
374	243	405
375	244	404
376	244	404
377	245	403
378	246	403
379	246	402
380	247	401
381	247	400
382	248	400
383	248	399
384	249	398
385	250	397
386	250	397
387	251	396
388	252	396
389	252	395
390	253	395
391	254	394
392	255	394
393	255	393
394	256	392
395	257	392
396	257	391
397	258	390
398	258	390
399	259	389
400	260	388
401	260	388
402	261	387
403	262	386
404	262	385
405	263	385
406	263	384
407	264	384
408	265	383
409	265	382
410	266	381
411	267	381
412	267	380
413	268	379
414	269	379
415	269	378
416	270	378
417	271	377
418	272	377
419	272	376
420	273	376
421	274	375
422	274	374
423	275	373
424	275	373
425	276	372
426	276	371
427	277	370
428	278	370
429	278	369
430	279	368
431	279	367
432	280	366
433	280	366
434	281	365
435	282	364
436	282	364
437	283	363
438	284	362
439	284	362
440	285	361
441	286	361
442	287	361
443	288	360
444	288	360
445	289	359
446	290	359
447	290	358
448	291	357
449	292	357
450	292	356
451	293	355
452	293	354
453	294	354
454	295	353
455	295	352
456	296	352
457	296	351
458	297	350
459	299	351
460	300	350
461	301	350
462	302	350
463	302	349
464	303	349
465	304	348
466	304	348
467	305	347
468	306	346
469	306	346
470	307	345
471	308	344
472	309	344
473	309	343
474	310	343
475	311	342
476	311	342
477	312	341
478	313	341
479	314	340
480	315	340
481	316	339
482	316	338
483	317	338
484	317	337
485	318	336
486	319	336
487	320	335
488	320	335
489	321	334
490	322	333
491	322	333
492	323	332
493	323	331
494	324	331
495	325	330
496	326	330
497	327	330
498	328	329
499	328	328
500	329	328
501	330	328
502	331	327
503	332	326
504	332	326
505	333	325
506	334	324
507	334	324
508	335	323
509	335	322
510	336	322
511	337	321
512	338	321
513	338	320
514	339	319
515	340	319
516	341	318
517	342	318
518	342	317
519	343	317
520	344	316
521	345	316
522	346	315
523	346	315
524	347	314
525	348	313
526	348	313
527	349	312
528	350	311
529	351	311
530	351	310
531	352	309
532	352	309
533	353	308
534	354	307
535	354	307
536	355	306
537	356	306
538	357	305
539	357	304
540	358	304
541	359	303
542	359	302
543	360	302
544	361	301
545	361	300
546	362	300
547	363	299
548	363	298
549	364	298
550	365	297
551	365	296
552	366	296
553	367	295
554	367	294
555	368	294
556	369	293
557	369	292
558	370	292
559	371	291
560	372	291
561	372	290
562	373	290
563	374	289
564	375	288
565	376	288
566	376	287
567	377	286
568	377	286
569	378	285
570	379	284
571	379	284
572	380	283
573	381	283
574	381	282
575	382	281
576	383	280
577	383	280
578	384	279
579	385	278
580	386	278
581	386	277
582	387	277
583	388	276
584	389	276
585	389	275
586	390	274
587	391	274
588	392	273
589	392	273
590	393	272
591	394	271
592	394	270
593	395	270
594	396	269
595	396	268
596	397	268
597	398	267
598	399	267
599	400	266
600	400	266
601	401	265
602	401	264
